deg_S,deg_W
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"39° 48' 36,7""","73° 15' 21,5"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"34° 58' 46,6""","71° 43' 52,3"""
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"35° 1' 54,3""","71º 41' 34,4''"
"39° 50' 24,62""","73º 14' 43,29''"
"39° 50' 24,62""","73º 14' 43,29''"
"39° 50' 24,62""","73º 14' 43,29''"
"39° 50' 24,62""","73º 14' 43,29''"
"39° 50' 24,62""","73º 14' 43,29''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"35° 02' 44,767""","71º 44' 15,121''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"30° 38' 41,303""","71º 34' 5,535''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"31° 35' 12,326""","71º 2' 54,038''"
"33° 58' 9,09"""," 71° 3' 21,12"""
"39° 55' 11,452""","73º 18' 2,152''"
"39° 53' 4,387""","73º 21' 46,107''"
"39° 53' 4,387""","73º 21' 46,107''"
"39° 53' 4,387""","73º 21' 46,107''"
"39° 53' 4,387""","73º 21' 46,107''"
"39° 53' 4,387""","73º 21' 46,107''"
"39° 53' 4,387""","73º 21' 46,107''"
"39° 53' 4,387""","73º 21' 46,107''"
"39° 53' 4,387""","73º 21' 46,107''"
"39° 29' 30,5""","72º 54' 29,6''"
"39° 29' 30,5""","72º 54' 29,6''"
"39° 55' 11,452""","73º 18' 2,152''"
"41° 53' 40,8""","72º 23' 33,9''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"28° 33' 4""","70º 52' 0,4''"
"39° 29' 23,4""","72º 8' 54,4''"
"39° 29' 23,4""","72º 8' 54,4''"
"39° 29' 23,4""","72º 8' 54,4''"
"39° 29' 23,4""","72º 8' 54,4''"
"39° 55' 1,098""","73º 6' 32,523''"
"39° 55' 1,098""","73º 6' 32,523''"
"39° 55' 1,098""","73º 6' 32,523''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 52' 21,793""","73º 9' 38,296''"
"39° 55' 1,098""","73º 6' 32,523''"
"39° 55' 1,098""","73º 6' 32,523''"
"39° 55' 1,098""","73º 6' 32,523''"
"39° 55' 1,098""","73º 6' 32,523''"
"39° 55' 1,098""","73º 6' 32,523''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"33° 2' 24,937""","71º 22' 23,848''"
"31° 36' 55,36""","71° 8' 37,13"""
"31° 36' 55,36""","71° 8' 37,13"""
"31° 36' 55,36""","71° 8' 37,13"""
"31° 36' 55,36""","71° 8' 37,13"""
"31° 36' 55,36""","71° 8' 37,13"""
"31° 36' 55,36""","71° 8' 37,13"""
"31° 36' 55,36""","71° 8' 37,13"""
"31° 36' 55,36""","71° 8' 37,13"""
"41° 53' 40,8""","72º 23' 33,9''"
"41° 53' 40,8""","72º 23' 33,9''"
"34° 58' 46,6""","71º 43' 52,3''"
"34° 58' 46,6""","71º 43' 52,3''"
"34° 58' 46,6""","71º 43' 52,3''"
"34° 58' 46,6""","71º 43' 52,3''"
"34° 58' 46,6""","71º 43' 52,3''"
"33° 2' 23,55""","71° 22' 28,407"""
"33° 2' 23,55""","71° 22' 28,407"""
"33° 2' 23,55""","71° 22' 28,407"""
"41° 53' 40,8""","72º 23' 33,9''"
"41° 53' 40,8""","72º 23' 33,9''"
"41° 53' 40,8""","72º 23' 33,9''"
"41° 53' 40,8""","72º 23' 33,9''"
"41° 53' 40,8""","72º 23' 33,9''"
"41° 53' 40,8""","72º 23' 33,9''"
"41° 53' 40,8""","72º 23' 33,9''"
"41° 53' 40,8""","72º 23' 33,9''"
"42° 39' 32,2""","72º 34' 42,7''"
"42° 39' 32,2""","72º 34' 42,7''"
"42° 39' 32,2""","72º 34' 42,7''"
"42° 39' 32,2""","72º 34' 42,7''"
"42° 39' 32,2""","72º 34' 42,7''"
"42° 39' 32,2""","72º 34' 42,7''"
"42° 39' 32,2""","72º 34' 42,7''"
"42° 39' 32,2""","72º 34' 42,7''"
"42° 39' 32,2""","72º 34' 42,7''"
"42° 39' 32,2""","72º 34' 42,7''"
"44° 11' 1,6""","72º 30' 35,7''"
"44° 11' 1,6""","72º 30' 35,7''"
"44° 11' 1,6""","72º 30' 35,7''"
"44° 11' 1,6""","72º 30' 35,7''"
"44° 11' 1,6""","72º 30' 35,7''"
"46° 13' 11,8""","71º 59' 52,5''"
"46° 13' 11,8""","71º 59' 52,5''"
"46° 13' 11,8""","71º 59' 52,5''"
"46° 13' 11,8""","71º 59' 52,5''"
"46° 13' 11,8""","71º 59' 52,5''"
"46° 13' 11,8""","71º 59' 52,5''"
"46° 13' 11,8""","71º 59' 52,5''"
"46° 13' 11,8""","71º 59' 52,5''"
"46° 13' 11,8""","71º 59' 52,5''"
"46° 13' 11,8""","71º 59' 52,5''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"47° 47' 40,6""","73º 31' 48,2''"
"48° 24' 37,8""","72º 38' 39,3''"
"48° 24' 37,8""","72º 38' 39,3''"
"48° 24' 37,8""","72º 38' 39,3''"
"48° 24' 37,8""","72º 38' 39,3''"
"48° 24' 37,8""","72º 38' 39,3''"
"48° 24' 37,8""","72º 38' 39,3''"
"48° 24' 37,8""","72º 38' 39,3''"
"48° 24' 37,8""","72º 38' 39,3''"
"48° 24' 37,8""","72º 38' 39,3''"
"48° 24' 37,8""","72º 38' 39,3''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"48° 2' 42""","73º 0' 51,8''"
"47° 10' 24,5""","71º 50' 15,7''"
"47° 10' 24,5""","71º 50' 15,7''"
"47° 10' 24,5""","71º 50' 15,7''"
"47° 10' 24,5""","71º 50' 15,7''"
"47° 10' 24,5""","71º 50' 15,7''"
"47° 10' 24,5""","71º 50' 15,7''"
"47° 10' 24,5""","71º 50' 15,7''"
"47° 10' 24,5""","71º 50' 15,7''"
"47° 10' 24,5""","71º 50' 15,7''"
"47° 10' 24,5""","71º 50' 15,7''"
"49° 5' 12,4""","72º 53' 50,8''"
"49° 5' 12,4""","72º 53' 50,8''"
"33° 2' 27,21""","71º 22' 20,59"""
"33° 2' 27,21""","71º 22' 20,59"""
"33° 2' 27,21""","71º 22' 20,59"""
"33° 2' 27,21""","71º 22' 20,59"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
"23° 11' 13,8""","67º 59' 28,3"""
-39.96778,-73.56201
-39.96961,-73.5647
-39.96956,-73.56469
-39.96783,-73.56201
-39.96956,-73.56466
-39.96713,-73.56124
-39.97098,-73.57023
-39.96972,-73.56481
-39.96967,-73.56467
-39.97013,-73.57044
-39.97013,-73.57043
-39.96972,-73.56481
-39.96924,-73.57009
-39.97011,-73.57043
-39.96743,-73.5696
-39.96749,-73.56954
-39.96801,-73.56995
-39.96976,-73.56483
-39.97012,-73.57042
-39.9535,-73.58002
-39.96746,-73.56957
-39.97018,-73.56527
-39.97158,-73.56889
-39.97021,-73.56528
-39.9693,-73.57005
-39.96982,-73.5648
-39.97014,-73.57042
-40.17968,-73.50806
-40.17968,-73.50801
-40.17967,-73.50803
-40.17966,-73.50802
-40.17905,-73.51557
-40.1791,-73.51569
-40.17907,-73.51562
-40.17904,-73.51565
-40.17912,-73.51563
-40.17906,-73.51558
-40.17905,-73.5156
-40.17905,-73.51559
-40.17909,-73.51559
-40.17909,-73.51559
-40.17906,-73.51555
-40.17902,-73.51558
-40.17903,-73.51557
-40.17903,-73.51558
-40.17903,-73.51558
-40.17908,-73.51556
-40.17906,-73.51553
-40.17905,-73.51556
-40.17907,-73.51559
-40.17907,-73.51559
-40.17906,-73.51557
-40.08355,-73.64366
-40.08356,-73.64366
-40.08354,-73.64363
-40.08362,-73.64351
-40.08359,-73.64365
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"33° 29' 48,45""","70º 49' 47,23"""
"34° 11' 7,289""","70º 47' 58,470"""
"34° 11' 7,289""","70º 47' 58,470"""
"34° 11' 7,289""","70º 47' 58,470"""
"34° 11' 7,289""","70º 47' 58,470"""
"34° 11' 7,289""","70º 47' 58,470"""
"34° 11' 7,289""","70º 47' 58,470"""
-40.08337,-73.64355
-40.06632,-73.64801
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 10' 6,361""","70º 51' 15,682"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 14' 1,233""","70º 29' 5,739"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"34° 1' 53,05""","71º 5' 28,49"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 14' 1,44""","71º 9' 33,25"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 23' 8,55""","71º 8' 53,8"""
"33° 19' 27,98""","71º 8' 10,49"""
"33° 19' 27,98""","71º 8' 10,49"""
"33° 19' 27,98""","71º 8' 10,49"""
